TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;DATA-PAGES;ATRIBUTOS
AccidentesDeTrabajo;aaaaaAccidentesDeTrabajo_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Establecimiento,Id_Funcionario,Id_Accidente,FechaAccidente
AdicionalDosSalud;aaaaaAdicionalDosSalud_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento,Id_Funcionario,Dos_FechaContratoIsapre
AdicionalDosSalud;Dos_FechaContratoIsapre;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Dos_FechaContratoIsapre
AdicionalDosSalud;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento
AdicionalDosSalud;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Funcionario
Afp;aaaaaAfp_PK;NONCLUSTERED;1;1;0;1;0;0;NULL;2026-06-04 09:11:44.943;0.015625;0.015625;0.007812;Id_Afp
Afp;Id_Afp;NONCLUSTERED;0;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Afp
Afp;Id_RegPrevisional;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_RegPrevisional
AguinaldoTemporal;aaaaaAguinaldoTemporal_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.054687;Id_Establecimiento,Id_Funcionario
AguinaldoTemporal;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.031250;Id_Establecimiento
AguinaldoTemporal;Id_EstablecimientoFun;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.039062;0.039062;0.039062;Id_EstablecimientoFun
AguinaldoTemporal;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.031250;Id_Funcionario
AguinaldoTemporal;Rut_Temporal;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.046875;Rut_Temporal
Anexo_Finiquito;aaAnexo_Finiquito_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento,Id_Funcionario,Correlativo,Correlativo_Anexo
Anexo_Finiquito;Correlativo;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Correlativo
Anexo_Finiquito;Correlativo_Anexo;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Correlativo_Anexo
Anexo_Finiquito;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento
Anexo_Finiquito;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Funcionario
Anexo_PlanCta;aaAnexo_PlanCta_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Codigo_Cuenta,Id_TipoContrato,Id_Haber,Id_Establecimiento
Anexo_PlanCta_Privado;aaAnexo_PlanCta_Privado_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento,Codigo_Cuenta,Id_HaberDcto,Tipo_Cuenta,Id_Proyecto
Anexo_PlanCta_Privado;Codigo_Cuenta;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Codigo_Cuenta
Anexo_PlanCta_Privado;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento
Anexo_PlanCta_Privado;Id_HaberDcto;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_HaberDcto
Anexo_PlanCta_Privado;Tipo_Cuenta;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Tipo_Cuenta
AnexoPlanCuentaPrivado;aaaaaAnexoPlanCuentaPrivado_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Ano_Proceso,Mes_Proceso,Id_Establecimiento,Codigo_Cuenta
AnexoPlanCuentaPrivado;AnoProceso;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Ano_Proceso
AnexoPlanCuentaPrivado;Codigo_Cuenta;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Codigo_Cuenta
AnexoPlanCuentaPrivado;MesProceso;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Mes_Proceso
AnexoPlanCuentaPrivado;Rut;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento
AnexoPlandeCuenta;aaAnexoPlandeCuenta_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.015625;Ano_Proceso,Mes_Proceso,Codigo_Area,CodigoCuenta
AnexoPlandeCuenta;Ano_Proceso;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Ano_Proceso
AnexoPlandeCuenta;Codigo_Area;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Codigo_Area
AnexoPlandeCuenta;CodigoCuenta;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.015625;CodigoCuenta
AnexoPlandeCuenta;Mes_Proceso;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Mes_Proceso
Anotaciones;aaaaaAnotaciones_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Funcionario,Id_Establecimiento,Id_TipoAnotacion,Id_Merito_Demerito
Anotaciones;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Establecimiento
Anotaciones;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Funcionario
Anotaciones;Id_Merito_Demerito;NONCLUSTERED;0;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Merito_Demerito
Anotaciones;Id_TipoAnotacion;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_TipoAnotacion
Antecedentes;aaaaaAntecedentes_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.382812;0.257812;0.242187;Id_Establecimiento,Id_Funcionario,Id_Antecedentes
Antecedentes;Id_Antecedentes;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.195312;0.125000;0.109375;Id_Antecedentes
Antecedentes;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.320312;0.203125;0.187500;Id_Establecimiento
Antecedentes;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.265625;0.187500;0.164062;Id_Funcionario
AperturaDeCuentas;aaAperturaDeCuentas_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento,Id_Funcionario
AperturaDeCuentas;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento
AperturaDeCuentas;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Funcionario
Asignaciones_Transparencia;aaaAsignaciones_Transparencia_PK;CLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.101562;0.046875;0.031250;Id_Haber
Asignaciones_Transparencia;Id_Haber;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Haber
Asignaturas;aaaaaAsignaturas_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Asignatura
Asistencia;aaaaaAsistencia_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento,Id_Funcionario,Id_Asistencia
Asistencia;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento
Asistencia;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Funcionario
Bancos;aaaaaBancos_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Banco
Bancos;Id_Banco;NONCLUSTERED;0;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Banco
Base_CalculoLicencia;aaaBase_CalculoLicencia_PK;NONCLUSTERED;1;1;2;0;0;0;2026-06-04 10:00:08.660;NULL;3.132812;3.125000;3.085937;Rut,Id_Licencia
BaseCalculo_PostNatalParental;aaaBaseCalculo_PostNatalParental_PK;CLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.257812;0.187500;0.171875;Id_CorrelativoPermiso,Rut
BaseCalculo_PostNatalParental;Id_CorrelativoPermiso;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.078125;0.031250;0.015625;Id_CorrelativoPermiso
BaseCalculo_PostNatalParental;Rut;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.078125;0.031250;0.015625;Rut
Bienestar_MacroCalculo;aaaBienestar_MacroCalculo_PK;CLUSTERED;1;1;12;0;0;0;2026-06-04 09:07:12.937;NULL;0.070312;0.015625;0.007812;Macro_id
Bienestar_TipoMoneda;aaaBienestar_TipoMoneda_PK;CLUSTERED;1;1;6;0;0;0;2026-06-04 09:07:12.910;NULL;0.070312;0.015625;0.007812;Id_ModoDctos
Bienios_Cumplidos;aaaaaBienios_Cumplidos_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Funcionario,Mes_Proceso,Ano_Proceso
Bienios_Cumplidos;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Funcionario
Calificacion;aaaaaCalificacion_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento,Id_Funcionario,Periodo
Calificacion;Id_Establecimeinto;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento
Calificacion;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Funcionario
Calificacion;Periodo;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Periodo
Capacitacion;aaaaaCapacitacion_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812;Rut_Funcionario,Id_Capacitacion
Capacitacion;Id_Capacitacion;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812;Id_Capacitacion
Capacitacion;Rut_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812;Rut_Funcionario
CargaDescuentosVarios_Aviso;aaaaaCargaDescuentosVarios_Aviso_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;1.382812;1.273437;1.257812;Rut,Mes,Ano,Tipo_Hd,Id_Hd
CargaPagosLicencia;FechaInicio;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812;FechaInicio
CargaPagosLicencia;FechaTermino;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812;FechaTermino
CargaPagosLicencia;NLicencia;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812;NLicencia
CargaPagosLicencia;Rut;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812;Rut
CargaPagosLicencia_Aviso;NLicencia;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812;NLicencia
CargaPagosLicencia_Aviso;Rut;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.070312;0.015625;0.007812;Rut
CargasRetroactivas;aaaaaCargasRetroactivas_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.210937;0.132812;0.187500;Id_Establecimiento,Id_Funcionario,Id_Carga_Retro
CargasRetroactivas;Id_Carga_Retro;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.164062;0.117187;0.132812;Id_Carga_Retro
CargasRetroactivas;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.210937;0.109375;0.140625;Id_Establecimiento
CargasRetroactivas;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.156250;0.070312;0.093750;Id_Funcionario
CargoFuncionario;aaaaaCargoFuncionario_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Cargo
CargoFuncionario;Id_Cargo;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Cargo
CarreraDocente;aaaCarreraDocente_PK;CLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Rut,Mes,Ano,Correlativo
CarreraDocente;Ano;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Ano
CarreraDocente;Correlativo;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Correlativo
CarreraDocente;Mes;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Mes
CarreraDocente;Rut;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Rut
CategoriaAsistEducacion;aaaCategoriaAsistEducacion_PK;CLUSTERED;1;1;5;0;0;0;2026-06-04 09:07:07.537;NULL;0.015625;0.015625;0.007812;Codigo_CategoriaAsistEducacion
CausalesEgreso;aaaaaCausalesEgreso_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Codigo
CausalesEgreso;Id_Codigo;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Codigo
CCAF_LosAndes;aaCCAF_LosAndes_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;K1_Id_Establecimiento,K1_Id_Funcionario,K1_Ano,K1_Mes,Correlativo
CCAF_LosAndes;K1_Ano;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;K1_Ano
CCAF_LosAndes;K1_Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;K1_Id_Establecimiento
CCAF_LosAndes;K1_Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;K1_Id_Funcionario
CCAF_LosAndes;K1_Mes;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;K1_Mes
CCAF_LosAndes_AfiliadoVoluntario;aaCCAF_LosAndes_AfiliadoVoluntario_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;K1_Id_Establecimiento,K1_Id_Funcionario,K1_Ano,K1_Mes
CCAF_LosAndes_AfiliadoVoluntario;K1_Ano;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;K1_Ano
CCAF_LosAndes_AfiliadoVoluntario;K1_Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;K1_Id_Establecimiento
CCAF_LosAndes_AfiliadoVoluntario;K1_Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;K1_Id_Funcionario
CCAF_LosAndes_AfiliadoVoluntario;K1_Mes;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;K1_Mes
CCAF_LosAndes_DepositosConvenidos;aaCCAF_LosAndes_DepositosConvenidos_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;K1_Id_Establecimiento,K1_Id_Funcionario,K1_Ano,K1_Mes,Correlativo
CCAF_LosAndes_DepositosConvenidos;K1_Ano;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;K1_Ano
CCAF_LosAndes_DepositosConvenidos;K1_Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;K1_Id_Establecimiento
CCAF_LosAndes_DepositosConvenidos;K1_Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;K1_Id_Funcionario
CCAF_LosAndes_DepositosConvenidos;K1_Mes;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;K1_Mes
CCAF_LosAndes_SIL;aaCCAF_LosAndes_SIL_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;K1_Id_Establecimiento,K1_Id_Funcionario,K1_Ano,K1_Mes
CCAF_LosAndes_SIL;K1_Ano;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;K1_Ano
CCAF_LosAndes_SIL;K1_Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;K1_Id_Establecimiento
CCAF_LosAndes_SIL;K1_Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;K1_Id_Funcionario
CCAF_LosAndes_SIL;K1_Mes;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;K1_Mes
Centros_Estudios;aaCentros_Estudios_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Centros_Estudios
Centros_Estudios;Id_Centros_Estudios;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Centros_Estudios
Certificados;PK_Certificados;CLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.023437;0.023437;0.007812;Numero,Ano,Id_Funcionario
Cheques;aaaaaCheques_PK;NONCLUSTERED;1;1;0;1;0;1;NULL;2026-06-04 09:11:44.680;0.015625;0.015625;0.007812;ID_Numero
Cheques;Id_Establecimiento;NONCLUSTERED;0;0;0;1;0;1;NULL;2026-06-04 10:00:09.600;0.015625;0.015625;0.007812;Id_Establecimiento
ClasificacionFuncionarios;aaClasificacionFuncionarios_PK;NONCLUSTERED;1;1;9;0;0;0;2026-06-04 09:07:07.633;NULL;0.015625;0.015625;0.007812;Id_Clasificacion_INE
CometidoFuncionario;aaaaaCometidoFuncionario_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Establecimiento,Id_Funcionario,Id_Cometido
CometidoFuncionario;Id_Cometido;NONCLUSTERED;0;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Cometido
CometidoFuncionario;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Establecimiento
CometidoFuncionario;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Funcionario
ComponentesINE;aaComponentesINE_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Componente_INE
ComponentesINE;Id_Componente_INE;NONCLUSTERED;0;0;16;0;0;0;2026-06-04 09:07:07.720;NULL;0.015625;0.015625;0.007812;Id_Componente_INE
ComponentesINE;Orden;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Orden
Constantes;aaaaaConstantes_PK;NONCLUSTERED;1;1;0;1;0;0;NULL;2026-06-04 09:13:41.847;0.015625;0.015625;0.007812;Id_Constante
Constantes;Id_Constante;NONCLUSTERED;0;1;28;0;0;0;2026-06-04 09:07:27.107;NULL;0.015625;0.015625;0.007812;Id_Constante
ContingenciaLeySanna;aaaContingenciaLeySanna_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Codigo
CuentaBanco;aaaaaCuentaBanco_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.148437;0.078125;0.148437;Id_Establecimiento,Id_Funcionario
